Status,Parent ID,Parent SKU,Product ID,Product SKU,Product Name,Post Title,Slug,Permalink,Product URI,Description,Excerpt,Product Published,Product Modified,Type,Synlighed,Featured,Virtuel,Downloadable,Price,Sale Price,Net Price,Sale Price Dates From,Sale Price Dates To,Vægt,Weight Unit,Height,Height Unit,Bredde,Width Unit,Length,Length Unit,Category,Tag,Featured Image,Featured Image Thumbnail,Featured Image (Embed),Featured Image Title,Featured Image Caption,Featured Image Alternative Text,Featured Image Description,Product Gallery,Product Gallery Title,Product Gallery Thumbnail,Product Gallery Caption,Product Gallery Alt,Product Gallery (Embed),Product Gallery Description,Tax Status,Tax Class,Shipping Class,Download File Name,Download File URL Path,Download Limit,Download Expiry,Download Type,Manage Stock,Quantity,Stock Status,Allow Backorders,Sold Individually,Total Sales,Grouped Products,Up-Sells,Cross-Sells,External URL,Button Text,Purchase Note,Product Status,Enable Reviews,Review Count,Rating Count,Average Rating,Sort Order,Post Author,Brugernavn,User Role,WordPress SEO - Focus Keyword,WordPress SEO - Meta Description,Attribute: Sort,WordPress SEO - SEO Title,Default Attributes,WordPress SEO - Noindex,WordPress SEO - Follow,WordPress SEO - Google+ Description,WordPress SEO - Facebook Title,WordPress SEO - Facebook Description,WordPress SEO - Facebook Image,WordPress SEO - Twitter Title,WordPress SEO - Twitter Description,WordPress SEO - Twitter Image,WordPress SEO - Canonical URL
Successful,,,5776,220899,"Ansigtsmaske med øreelastikker, 3-lags, blå, engangs, 50 stk","Ansigtsmaske med øreelastikker, 3-lags, blå, engangs, 50 stk",ansigtsmaske-med-oereelastikker-3-lags-blaa-engangs-50-stk,https://haandsprit.dk/produkt/ansigtsmaske-med-oereelastikker-3-lags-blaa-engangs-50-stk/,https://haandsprit.dk/produkt/ansigtsmaske-med-oereelastikker-3-lags-blaa-engangs-50-stk/,"<strong>Ansigtsmaske (mundbind) varedeklaration: </strong>

Produktbetegnelse: Ansigtsmaske med øreelastikker, type II
Varemærke: Abena
Vareserie: Classic
Holdbarhed: 5 år
Farve: Blå
Materiale: PP, PE, spandex
Features: ultrasonic, usteril
Engangs/flergangs: engangs
Antal lag: 3-lags
Længde/dybde: 17,5 cm
Bredde: 9,5 cm
Certifikater: CE
Produkt- eller teststandarder: EN 14683:2014
CE-klasse: Klasse I
Direktiver, lovgivning og regler: 93/42/EEC
Produktbeskrivelse: Ansigtsmaske med bløde og stærke øreelastikker samt næseklemme, der sikrer god pasform. Maskerne har en lav respirationsmodstand samt høj bakteriefiltrering. Maskerne anbefales til brug af sundhedsfagligt personaler i operationsstuer eller i omgivelser med lignende hygiejne krav for at mindske krydskontaminering. Omgivelserne beskyttes imod smitte. Type II godkendt i henhold til EN 14683:2014.
Vejledning i brug/anvendelse: Form næseklemme og anbring masken på ansigtet, sørg for at dække næsen og munden. Sæt øreelastikkerne rundt om ørerne. Masken påtages med det farvede lag yderst og foldes altid helt ud.
Opbevaringsinstruktioner: Opbevares tørt, ved stuetemperatur og ikke i direkte sollys.
Instruktioner vedrørende produktbortskaffelse: Kan bortskaffes med almindeligt husholdningsaffald. Ved mistanke om kontaminering skal produktet kasseres som klinisk affald.
Instruktioner vedrørende bortskaffelse af emballage: Kan genbruges eller forbrændes.","<h3>OBS! Begrænset mængde.</h3>
<strong>Ansigtsmaske.</strong>

Ansigtsmaske med bløde og stærke øreelastikker samt næseklemme, der sikrer god pasform. Maskerne har en lav respirationsmodstand samt høj bakteriefiltrering. Maskerne anbefales til brug af sundhedsfagligt personaler i operationsstuer eller i omgivelser med lignende hygiejne krav for at mindske krydskontaminering. Omgivelserne beskyttes imod smitte. Type II godkendt i henhold til EN 14683:2014.

<a href=""https://haandsprit.dk/produkt/ansigtsmaske-groen-3lags/"">Klik her for at se grøn variant af samme produkt.</a>

<strong>Prisen er angivet for 1 pakke = 50 stk. (20 pakker = 1 kolli).</strong>

Leveringstid: 2 - 4 dage.",24-01-2020,31-01-2020,Simple Product,Shop and search results,Ja,Nej,Nej,"174,95",,"174,95",,,,,,,,,,,Klinik>Dagligt forbrug|Klinik>Laboratorie & test,laboratorie & test,https://haandsprit.dk/wp-content/uploads/2020/01/22089904-1.jpg,https://haandsprit.dk/wp-content/uploads/2020/01/22089904-1-150x150.jpg,,22089904 (1),,,,,,,,,,,Taxable,,,,,-1,-1,Standard,Ja,41,In Stock,Nej,Nej,308,,6918|21089702|3020|5252-2,6917|21089702|3070|150180,,,,Publish,Closed,0,,0,41,6,Morten,Administrator,mundbind,Køb beskyttende mundbind til beskyttelse og undersøgelse hos Håndsprit.dk. Udstyr til klinik - overfladedesinfektion - Håndsprit - håndsæbe.,,,,,,,,,,,,,
,,,5603,1000012413,"Urinprøve bæger, Sarstedt, med skrivefelt, 100 ml, steril. 5 stk.","Urinprøve bæger, Sarstedt, med skrivefelt, 100 ml, steril. 5 stk.",urinproevebaeger-sarstedt-med-skrivefelt-100-ml-steril,https://haandsprit.dk/produkt/urinproevebaeger-sarstedt-med-skrivefelt-100-ml-steril/,https://haandsprit.dk/produkt/urinproevebaeger-sarstedt-med-skrivefelt-100-ml-steril/,"<strong>Urinprøve bæger Sarstedt med skrivefelt. 100 ml steril. Varedeklaration: </strong>

Produktbetegnelse: Urinprøveflaske / urinprøvebæger
Varemærke: Sarstedt
Holdbarhed: 180 dage ved modtagelse
Materiale: PP
Features: med skrivefelt, 100 ml, steril
Højde: 76 mm
Diameter: 57 mm
Certifikater: CE
Produktbeskrivelse: Anvendes i forbindelse med opsamling af urin til analyse. Med label over låget, så det tydeligt ses om bægeret har været åbnet.
Opbevaringsinstruktioner: Opbevares tørt, ved stuetemperatur og ikke i direkte sollys.
Instruktioner vedrørende produktbortskaffelse: Afleveres på miljøstation.
Instruktioner vedrørende bortskaffelse af emballage: Kan genbruges eller forbrændes.","<strong>Urinprøve bæger.</strong>

Anvendes i forbindelse med opsamling af urin til analyse. Med label over låget, så det tydeligt ses om bægeret har været åbnet.

<strong>1 pakke á 5 stk.</strong>",03-01-2020,10-01-2020,Simple Product,Shop and search results,Nej,Nej,Nej,"27,13",,"27,13",,,,,,,,,,,Klinik>Laboratorie & test,laboratorie & test,https://haandsprit.dk/wp-content/uploads/2020/01/1000012413.jpg,https://haandsprit.dk/wp-content/uploads/2020/01/1000012413-150x150.jpg,,1000012413,,,,,,,,,,,Taxable,,,,,-1,-1,Standard,Nej,,In Stock,Nej,Nej,0,,232742|224219|22753803|1000011771|227702,232742|224219|22753803|1000011771|227702,,,,Publish,Closed,0,,0,34,6,Morten,Administrator,urinprøve,Urinprøve bæger. Anvendes til opsamling af urin i forbindelse med urinprøve. Køb klinikartikler og desinfektion hos Håndsprit.dk,,,,,,,,,,,,,
,,,5581,469-3,"Dax overfladedesinfektion Plus, 45% alkohol, 5000 ml","Dax overfladedesinfektion Plus, 45% alkohol, 5000 ml",dax-overfladedesinfektion-plus-45-alkohol-5000-ml,https://haandsprit.dk/produkt/dax-overfladedesinfektion-plus-45-alkohol-5000-ml/,https://haandsprit.dk/produkt/dax-overfladedesinfektion-plus-45-alkohol-5000-ml/,"<strong>DAX overfladedesinfektion Plus.</strong>

DAX overfladedesinfektion Plus er udviklet til desinfektion af glatte overflader som for eksempel undersøgelseslejer, siddeflader, borde etc. DAX overfladedesinfektion Plus er effektivt mod bakterier, svampe og forskellige typer vira som HIV, Hepatit B og C. Indeholder tensid hvilket gør at overfladen ikke behøver forbehandling.

Anvend biocider sikkert. Læs altid etiketten og produktinformationen før anvendelse.

<strong>Brugsanvisning:</strong>

Spray Dax Plus ufortyndet på overfladen eller aftør overfladen med en klud påført Dax Plus.
Overfladen holdes fugtigt i mindst 30 sek. (Se produktark for kontakttider). Lad overfladen lufttørre.
Dax overfladedesinfektion Plus anvendes ufortyndet.","<strong>Dax overfladedesinfektion Plus.</strong>

Indeholder 45 volumenprocent alkoholstyrke.

Dax overfladedesinfektion Plus er udviklet til desinfektion af glatte overflader, som for eksempel undersøgelseslejer, siddeflader, borde etc. Produktet er effektivt mod bakterier, svamp og forskellige typer af vira som eksempelvis Hepatitis B, C og HIV.
<ul>
 	<li>Består af ipa og har 45% vol. Alkoholstyrke</li>
 	<li>Virker hurtigt og fordamper uden at efterlade spor på den behandlede overflade</li>
 	<li><span style=""display: inline !important; float: none; background-color: transparent; color: #666666; font-family: 'Open Sans','Helvetica Neue',Arial,sans-serif; font-size: 14px; font-size-adjust: none; font-stretch: 100%; font-style: normal; font-variant: normal; font-weight: 400; letter-spacing: normal; line-height: 23.1px; orphans: 2; text-align: left; text-decoration: none; text-indent: 0px; text-transform: none; -webkit-text-stroke-width: 0px; white-space: normal; word-spacing: 0px;"">Tilsætningen af tensid gør at overfladen ikke behøver forbehandling</span></li>
 	<li>God opløsningseffekt på f.eks. spild af blod</li>
</ul>
<strong>Dosering: Dax Plus anvendes ufortyndet.</strong>

<span style=""display: inline !important; float: none; background-color: transparent; color: #666666; font-family: 'Open Sans','Helvetica Neue',Arial,sans-serif; font-size: 14px; font-size-adjust: none; font-stretch: 100%; font-style: normal; font-variant: normal; font-weight: 600; letter-spacing: normal; line-height: 23.1px; orphans: 2; text-align: left; text-decoration: none; text-indent: 0px; text-transform: none; -webkit-text-stroke-width: 0px; white-space: normal; word-spacing: 0px;"">1 stk. á 5000 ml. (1 kolli = 3 stk).</span>

[vcex_button url=""https://haandsprit.dk/wp-content/uploads/2019/05/SDB_DAX_Ytdesinfektion_Plus.pdf"" title=""Sikkerhedsdatablad"" style=""graphical"" align=""left"" color=""black"" size=""small"" target=""blank"" rel=""none""]Sikkerhedsdatablad <i class=""fa fa-file-text"" style=""margin-left: 10px;""></i>[/vcex_button]
</br>
[vcex_button url=""https://haandsprit.dk/wp-content/uploads/2019/05/Produktblad_DAX_Ytdesinfektion_Plus.pdf"" title=""Mikrobiologisk information"" style=""graphical"" align=""left"" color=""black"" size=""small"" target=""blank"" rel=""none""]Mikrobiologisk information <i class=""fa fa-file-text"" style=""margin-left: 10px;""></i>[/vcex_button]
</br>",28-12-2019,28-12-2019,Simple Product,Shop and search results,Nej,Nej,Nej,"148,75",,"148,75",,,,,,,,,,,Overfladedesinfektion|Overfladedesinfektion>Alt|Overfladedesinfektion>Dax udvalg|Overfladedesinfektion>Flydende desinfektion,Dax|overfladedesinfektion med alkohol,https://haandsprit.dk/wp-content/uploads/2019/12/469-3_DAX_Ytdesinfektion_Plus_5L.jpg,https://haandsprit.dk/wp-content/uploads/2019/12/469-3_DAX_Ytdesinfektion_Plus_5L-150x150.jpg,,469-3_DAX_Ytdesinfektion_Plus_5L,,,,,,,,,,,Taxable,,,,,-1,-1,Standard,Ja,9,In Stock,Nej,Nej,0,,495-12|493-12|470-12|C464,,,,,Publish,Closed,0,,0,98,6,Morten,Administrator,dax plus,"DAX overfladedesinfektion Plus er effektivt mod bakterier, svampe og forskellige typer vira som HIV, Hepatit B og C. Indeholder tensid.",,,,,,,,,,,,,
,,,5531,3065,"Undersøgelseshandske Abena Excellent, blå Nitril, pudderfri, acceleratorfri, 200 stk.","Undersøgelseshandske Abena Excellent, blå Nitril, pudderfri, acceleratorfri, 200 stk.",undersogelseshandske-abena-excellent-morkeblaa-pudderfri-acceleratorfri-200-stk,https://haandsprit.dk/produkt/undersogelseshandske-abena-excellent-morkeblaa-pudderfri-acceleratorfri-200-stk/,https://haandsprit.dk/produkt/undersogelseshandske-abena-excellent-morkeblaa-pudderfri-acceleratorfri-200-stk/,"<strong>Varedeklaration: </strong>

Produktbetegnelse: Undersøgelseshandske
Varemærke: Abena
Vareserie: Excellent
Holdbarhed: 3 år
Holdbarhed, åbnet: 3 år
Farve: mørkeblå
Materiale: nitril
Tekniske ingredienser: Nitrile NBR, Zinc oxide, Potassium Hydroxide, Titanium Dioxide, Blue pigment
Egenskaber: latexfri, finger textured, medium grip, rolled cuff, acceleratorfri
Features: pudderfri, acceleratorfri
Engangs/flergangs: Engangs
Størrelse: S - XL
Længde/dybde:
240 mm
Bredde: 85 - 115 mm
Tykkelse: 0,05 mm
Certifikater: CE, Til fødevarer, CAT III
Produkt- eller teststandarder: EN 455, EN 420, EN 374-1:2016 Type C K, EN 374-5:2016 VIRUS, AQL 1.5
CE-klasse: Klasse I
CE-kategori: CAT III
Direktiver, lovgivning og regler: 93/42/EEC, 89/686/EEC, Fødevaregodkendt iht. 1935/2004/EU
Produktbeskrivelse: Elastisk undersøgelseshandske fri for gummikemikalier/acceleratorer. Kan bruges til en lang række opgaver såsom rengøringsopgaver, plejeopgaver, håndtering af fødevarer, laboratorieopgaver, medicinhåndtering, cytostatika og hormoncremer. Indeholder hverken latexproteiner eller acceleratorer, så kan sikkert anvendes ved latexallergi og allergisk kontaktallergi overfor gummikemikalier.
Vejledning i brug/anvendelse: Undersøg handskerne for fejl og defekter, inden du bruger dem. 
Opbevaringsinstruktioner: Opbevares tørt, rent og ved stuetemperatur.
Instruktioner vedrørende produktbortskaffelse: Kan bortskaffes med almindeligt husholdningsaffald. Ved mistanke om kontaminering skal produktet kasseres som klinisk affald.
Instruktioner vedrørende bortskaffelse af emballage: Kan genbruges eller forbrændes.","<strong>Specialprodukt til dig der har allergi og/eller særligt behov for et særdeles skånsomt produkt til hænderne. </strong>

Elastisk undersøgelseshandske fri for gummikemikalier/acceleratorer. Kan bruges til en lang række opgaver såsom rengøringsopgaver, plejeopgaver, håndtering af fødevarer, laboratorieopgaver, medicinhåndtering, cytostatika og hormoncremer. Indeholder hverken latexproteiner eller acceleratorer, så kan sikkert anvendes ved latexallergi og allergisk kontaktallergi overfor gummikemikalier.
<ul>
 	<li>Passer til både venstre og højre hånd.</li>
 	<li>Fødevaregodkendt.</li>
 	<li>Fås i alle størrelser – vælg størrelse herunder.</li>
</ul>
<strong>OBS! Leveringstiden på dette produkt er 2 - 4 dage.</strong>

<strong>Prisen er angivet pr. pakke med 200 stk. (1 kolli = 10 pakker).</strong>",18-12-2019,24-01-2020,Variable,Shop and search results,Nej,Nej,Nej,"124,87","124,87","124,87",,,,,,,,,,,Engangshandsker|Engangshandsker>Alt i kategorien engangshandsker|Engangshandsker>Nitrilhandsker|Klinik>Undersøgelseshandsker,engangshandsker|Undersøgelseshandsker,,,,,,,,https://haandsprit.dk/wp-content/uploads/2019/08/20130926123.jpg,,https://haandsprit.dk/wp-content/uploads/2019/08/20130926123-150x150.jpg,,,,,Taxable,,,,,-1,-1,Standard,Nej,,In Stock,Nej,Nej,5,,6917|6918|150180|81133,6917|6918|150180|81133,,,,Publish,Closed,0,,0,14,6,Morten,Administrator,acceleratorfri,"Acceleratorfri Nitrilhandske til plejeopgaver, rengøringsopgaver mv. Er fødevaregodkendt og kan anvendes indenfor fødevareområdet. Indeholder ikke Latex.",,,,,,,,,,,,,
,5531,3065,5535,1000006804,"Undersøgelseshandske Abena Excellent, blå Nitril, pudderfri, acceleratorfri, 200 stk. - Small - stoerrelse: Small","Undersøgelseshandske Abena Excellent, blå Nitril, pudderfri, acceleratorfri, 200 stk. - Small",product-385-variation-3-2-3,,https://haandsprit.dk/produkt/undersogelseshandske-abena-excellent-morkeblaa-pudderfri-acceleratorfri-200-stk/?attribute_stoerrelse=Small,Abena acceleratorfri Nitril størrelse Small,Størrelse: Small,18-12-2019,18-12-2019,Variation,Shop and search results,Nej,Nej,Nej,"124,87",,"124,87",,,,,,,,,,,Engangshandsker|Engangshandsker>Alt i kategorien engangshandsker|Engangshandsker>Nitrilhandsker|Klinik>Undersøgelseshandsker,,,,,,,,,,,,,,,,Taxable,parent,,,,-1,-1,Standard,Nej,,In Stock,Nej,Nej,0,,,6917|6918|150180|81133,,,,Publish,Closed,0,,0,5,6,Morten,Administrator,,,,,,,,,,,,,,,
,5531,3065,5534,1000006807,"Undersøgelseshandske Abena Excellent, blå Nitril, pudderfri, acceleratorfri, 200 stk. - X-Large - stoerrelse: X-Large","Undersøgelseshandske Abena Excellent, blå Nitril, pudderfri, acceleratorfri, 200 stk. - X-Large",product-385-variation-4-2-3,,https://haandsprit.dk/produkt/undersogelseshandske-abena-excellent-morkeblaa-pudderfri-acceleratorfri-200-stk/?attribute_stoerrelse=X-Large,Abena acceleratorfri Nitril størrelse X-Large,Størrelse: X-Large,18-12-2019,18-12-2019,Variation,Shop and search results,Nej,Nej,Nej,"124,87",,"124,87",,,,,,,,,,,Engangshandsker|Engangshandsker>Alt i kategorien engangshandsker|Engangshandsker>Nitrilhandsker|Klinik>Undersøgelseshandsker,,,,,,,,,,,,,,,,Taxable,parent,,,,-1,-1,Standard,Nej,,In Stock,Nej,Nej,0,,,6917|6918|150180|81133,,,,Publish,Closed,0,,0,4,6,Morten,Administrator,,,,,,,,,,,,,,,
,5531,3065,5533,1000006805,"Undersøgelseshandske Abena Excellent, blå Nitril, pudderfri, acceleratorfri, 200 stk. - Medium - stoerrelse: Medium","Undersøgelseshandske Abena Excellent, blå Nitril, pudderfri, acceleratorfri, 200 stk. - Medium",product-385-variation-2-2-3,,https://haandsprit.dk/produkt/undersogelseshandske-abena-excellent-morkeblaa-pudderfri-acceleratorfri-200-stk/?attribute_stoerrelse=Medium,Abena acceleratorfri Nitril størrelse Medium,Størrelse: Medium,18-12-2019,23-01-2020,Variation,Shop and search results,Nej,Nej,Nej,"124,87",,"124,87",,,,,,,,,,,Engangshandsker|Engangshandsker>Alt i kategorien engangshandsker|Engangshandsker>Nitrilhandsker|Klinik>Undersøgelseshandsker,,,,,,,,,,,,,,,,Taxable,parent,,,,-1,-1,Standard,Nej,,In Stock,Nej,Nej,0,,,6917|6918|150180|81133,,,,Publish,Closed,0,,0,2,6,Morten,Administrator,,,,,,,,,,,,,,,
,5531,3065,5532,1000006806,"Undersøgelseshandske Abena Excellent, blå Nitril, pudderfri, acceleratorfri, 200 stk. - Large - stoerrelse: Large","Undersøgelseshandske Abena Excellent, blå Nitril, pudderfri, acceleratorfri, 200 stk. - Large",product-385-variation-5-3,,https://haandsprit.dk/produkt/undersogelseshandske-abena-excellent-morkeblaa-pudderfri-acceleratorfri-200-stk/?attribute_stoerrelse=Large,Abena acceleratorfri Nitril størrelse Large,Størrelse: Large,18-12-2019,18-12-2019,Variation,Shop and search results,Nej,Nej,Nej,"124,87",,"124,87",,,,,,,,,,,Engangshandsker|Engangshandsker>Alt i kategorien engangshandsker|Engangshandsker>Nitrilhandsker|Klinik>Undersøgelseshandsker,,,,,,,,,,,,,,,,Taxable,parent,,,,-1,-1,Standard,Nej,,In Stock,Nej,Nej,0,,,6917|6918|150180|81133,,,,Publish,Closed,0,,0,3,6,Morten,Administrator,,,,,,,,,,,,,,,
,,,5486,796301,"PAL TX blå desinfektionsservietter, fødevaregodkendt, 200 stk","PAL TX blå desinfektionsservietter, fødevaregodkendt, 200 stk",pal-tx-desinfektionsservietter-uden-alkohol-200-stk,https://haandsprit.dk/produkt/pal-tx-desinfektionsservietter-uden-alkohol-200-stk/,https://haandsprit.dk/produkt/pal-tx-desinfektionsservietter-uden-alkohol-200-stk/,"Pal TX blå fødevaregodkendt desinfektionsserviet uden alkohol.

Pal TX Surface disinfectant Wipes er specielt udviklet til hygiejnisk rengøring og desinfektion af hårde overflader indenfor fødevare produktion og service miljøer. Kun til professional brug.

Pal TX overfladedesinfektions serviet er udviklet til at dræbe de fleste mikro organismer som f.eks. bakterier, svampe, gær og virus.

Varedeklaration:
Basisnavn: Pal Tx Surface Disinfectant Wipes
Brand: Pal TX
Holdbarhed: 36 måneder
Holdbarhed, åbnet: 12 måneder
Aktive ingredienser/sammensætning: N-(3-Aminopropyl)-N-dodecylpropane-1, 3-diamine <0.5%
Egenskaber: Levnedsmiddelgodkendt produkt uden ethanol
pH-værdi (konc.): pH 6,5-7,5
Længde/dybde: 195 mm
Bredde: 200 mm

Pal TX Surface Disinfectant wipes dræber beviseligt de fleste micro organismer som eksempelvis bakterier, svampe samt vira. Servietterne er uafhængigt testet i henhold til en række EU standarder (EN) og BS ISO 4120:2004. Anvendes ufortyndet, virketid ca. 1 minut.

Instruktioner vedrørende produktbortskaffelse: Afleveres på miljøstation.
Instruktioner vedrørende bortskaffelse af emballage: Kan sorteres som plastik og genbruges eller forbrændes.","<strong>Fødevaregodkendte desinfektionsservietter uden alkohol.</strong>

Pal Tx Surface Disinfectant Wipes, servietter til overfladedesinfektion.

Til overfladedesinfektion af hårde overflader indenfor fødevareproduktion og håndtering af fødevarer. Kan endvidere anvendes til desinfektion af senge, borde, tastatur, klinisk udstyr, lab. udstyr med mere. Godkendt af Fødevarestyrelsen <strong>uden </strong>efterfølgende afskylning med vand. Anvendes ufortyndet, virketid ca. 1 minut. Effektiv mod bakterier, svampe og vira, Listeria og Salmonella.

Velegnet til alt udstyr og alle overflader der kommer i direkte kontakt med levnedsmidler. Også velegnet som aftørringsserviet i forbindelse med mobile fødevare salgssteder. Kort sagt: Anvendes alle steder hvor meget høj hygiejne ønskes.

Pal Tx kan ophænges på væg i en vægholder/dispenser. Du finder holderen <a href=""https://haandsprit.dk/produkt/vaegholder-til-pal-tx/"">her</a>

<strong>Serviet størrelse: 195 x 200 mm. Dette produkt er udviklet til proffesional brug indenfor fødevareområdet. Til anvendelse indenfor sundhedsområdet anbefales følgende produkt: <a href=""https://haandsprit.dk/produkt/pal-tx-spritservietter-til-overfladedesinfektion-200-stk-hvide-servietter/"">Pal Tx til sundhedsområdet</a>

<strong>1 stk non-stop box med 200 blå servietter. (1 kolli = 10 stk).</strong>


[vcex_button url=""https://haandsprit.dk/wp-content/uploads/2020/01/Approval-Pal-TX-Surface-Disinfectant-Wipes.pdf"" title=""Godkendelse"" style=""graphical"" align=""left"" color=""black"" size=""small"" target=""blank"" rel=""none""]Godkendelse <i class=""fa fa-file-text"" style=""margin-left: 10px;""></i>[/vcex_button]
</br>
[vcex_button url=""https://haandsprit.dk/wp-content/uploads/2020/01/No-Rinse-Claim-Pal-TX-Surface-Disinfectant-Wipes-002.pdf"" title=""Dispensation"" style=""graphical"" align=""left"" color=""black"" size=""small"" target=""blank"" rel=""none""]Dispensation <i class=""fa fa-file-text"" style=""margin-left: 10px;""></i>[/vcex_button]
</br>
[vcex_button url=""https://haandsprit.dk/wp-content/uploads/2020/01/Pal-TX-Surface-Disinfectant-Testing-Summary-002.pdf"" title=""Oversigt"" style=""graphical"" align=""left"" color=""black"" size=""small"" target=""blank"" rel=""none""]Oversigt <i class=""fa fa-file-text"" style=""margin-left: 10px;""></i>[/vcex_button]
</br>
[vcex_button url=""https://haandsprit.dk/wp-content/uploads/2020/01/W258230T-Spec-200-Pal-TX-Surface-Disinfectant-Wipes-002.pdf"" title=""Specifikationer"" style=""graphical"" align=""left"" color=""black"" size=""small"" target=""blank"" rel=""none""]Specifikationer <i class=""fa fa-file-text"" style=""margin-left: 10px;""></i>[/vcex_button]
</br>
[vcex_button url=""https://haandsprit.dk/wp-content/uploads/2020/01/SDS-Pal-TX-Surface-Disinfectant-Wipes-002.pdf"" title=""Sikkerhedsdatablad"" style=""graphical"" align=""left"" color=""black"" size=""small"" target=""blank"" rel=""none""]Sikkerhedsdatablad <i class=""fa fa-file-text"" style=""margin-left: 10px;""></i>[/vcex_button]
</br>",11-12-2019,24-01-2020,Simple Product,Shop and search results,Ja,Nej,Nej,"104,95",,"104,95",,,,,,,,,,,"Overfladedesinfektion|Overfladedesinfektion>Alt|Overfladedesinfektion>Desinfektion - fødevareområdet|Overfladedesinfektion>Dispenser boxe|Overfladedesinfektion>Pal International udvalg|Servietter til desinfektion, injektion samt personlig pleje",desinfektionsservietter|Overfladedesinfektion uden alkohol|Pal Tx,https://haandsprit.dk/wp-content/uploads/2019/12/S76_230TX.jpg,https://haandsprit.dk/wp-content/uploads/2019/12/S76_230TX-150x150.jpg,,S76_230TX,,,,https://haandsprit.dk/wp-content/uploads/2017/03/2-Tritex-blue.png,,https://haandsprit.dk/wp-content/uploads/2017/03/2-Tritex-blue-150x150.png,,,,,Taxable,,,,,-1,-1,Standard,Ja,29,In Stock,Nej,Nej,0,,796104|4106-K|4810-K|796110,4810-K|100288|796110,,,,Publish,Closed,0,,0,176,6,Morten,Administrator,Pal Tx blå,"Pal Tx Surface Disinfectant Wipes, overfladedesinfektionsservietter UDEN alkohol, levnedsmiddelgodkendt produkt til desinfektion af overflader.",,,,,,,,,,,,,
,,,5449,226810,"Sterilt vand, skyllevæske, Mini-Plasco, 10 ml, 20 stk","Sterilt vand, skyllevæske, Mini-Plasco, 10 ml, 20 stk",sterilt-vand-skyllevaeske-10-ml,https://haandsprit.dk/produkt/sterilt-vand-skyllevaeske-10-ml/,https://haandsprit.dk/produkt/sterilt-vand-skyllevaeske-10-ml/,"<strong>Sterilt vand 10 ml. Skyllevæske. Varedeklaration: </strong>

Produktbetegnelse: Skyllevæske
Varemærke: Mini-Plasco
Holdbarhed: 3 år
Ingredienser/sammensætning: Sterilt vand i polyethyleampuller
Features: sterilt vand
Engangs/flergangs: engangs
Rumindhold, netto: 10 ml
Certifikater: CE
Produktbeskrivelse: Sterilt vand i pipetteflaske. Anvendes til skylning af hud og sår. Kan også anvendes til skylning af instrumenter og andre remedier. Er ikke til IV-brug.
Opbevaringsinstruktioner: Opbevares tørt, rent og ved stuetemperatur.
Instruktioner vedrørende produktbortskaffelse: Kan bortskaffes med almindeligt husholdningsaffald.
Instruktioner vedrørende bortskaffelse af emballage: Kan genbruges eller forbrændes.","<strong>Skyllevæske.</strong>

Sterilt vand i pipetteflaske. Anvendes til skylning af hud og sår. Kan også anvendes til skylning af instrumenter og andre remedier. Er ikke til IV-brug.

<strong>1 pakke á 20 x 10 ml. (1 kolli = 5 pakker)</strong>

[vcex_button url=""https://haandsprit.dk/wp-content/uploads/2019/12/mini-plasco.pdf"" style=""graphical"" align=""left"" color=""black"" size=""small"" target=""blank"" rel=""none""]Produkt information <i class=""fa fa-file-text"" style=""margin-left: 10px;""></i>[/vcex_button]
</br>",07-12-2019,07-12-2019,Simple Product,Shop and search results,Nej,Nej,Nej,"124,79",,"124,79",,,,,,,,,,,Klinik>Laboratorie & test,laboratorie & test,https://haandsprit.dk/wp-content/uploads/2019/12/226810.jpg,https://haandsprit.dk/wp-content/uploads/2019/12/226810-150x150.jpg,,226810,,,,https://haandsprit.dk/wp-content/uploads/2019/12/2012110727-1.jpg,,https://haandsprit.dk/wp-content/uploads/2019/12/2012110727-1-150x150.jpg,,,,,Taxable,,,,,-1,-1,Standard,Nej,,In Stock,Nej,Nej,0,,232742|224219|22753803|1000011771|227702,232742|224219|22753803|1000011771|227702,,,,Publish,Closed,0,,0,34,6,Morten,Administrator,skyllevæske,Sterilt vand / skyllevæske. Anvendes til blæreskylning eller større områder af hud og sår. Køb klinikartikler og desinfektion hos Håndsprit.dk,,,,,,,,,,,,,
